grade1,grade2,attendance,finalGrade
25,30,3,Failed
25,25,2,Failed
35,40,2,BarelyPassed
75,70,4,Passed
30,50,5,BarelyPassed
75,75,4,Passed
60,60,4,BarelyPassed
30,25,4,Failed
80,90,5,Passed
70,75,4,Passed
50,40,3,BarelyPassed
50,60,5,Passed
70,70,3,Passed
50,50,3,BarelyPassed
70,80,4,Passed
70,70,4,Passed
65,70,2,Passed
40,50,2,BarelyPassed
30,25,2,Failed
40,50,5,BarelyPassed
65,70,2,Passed
60,75,5,Passed
75,75,4,Passed
65,65,4,Passed
50,45,4,BarelyPassed
30,45,3,BarelyPassed
60,60,4,BarelyPassed
75,80,4,Passed
55,55,3,BarelyPassed
50,60,4,BarelyPassed
45,55,4,Passed
85,80,5,Passed
85,80,2,Passed
40,50,2,Passed
60,70,4,Passed
40,35,5,Failed
75,80,2,Passed
75,80,2,Passed
60,60,2,BarelyPassed
70,65,3,Passed
35,50,2,BarelyPassed
60,60,2,Passed
95,90,3,Passed
40,40,3,BarelyPassed
50,50,2,BarelyPassed
40,40,4,Failed
55,60,2,BarelyPassed
95,95,4,Passed
75,75,4,Passed
35,35,4,BarelyPassed
60,65,4,Passed
55,65,3,Passed
55,55,3,BarelyPassed
40,50,4,BarelyPassed
50,65,3,Passed
40,45,3,BarelyPassed
70,75,4,Passed
70,75,4,Passed
45,50,4,BarelyPassed
75,80,3,Passed
50,55,3,BarelyPassed
50,40,2,BarelyPassed
40,50,4,BarelyPassed
50,45,4,BarelyPassed
50,50,3,BarelyPassed
80,75,4,Passed
65,65,3,Passed
35,35,2,Failed
40,45,2,BarelyPassed
80,80,2,Passed
65,75,4,Passed
50,50,1,BarelyPassed
40,30,2,Failed
60,60,2,Passed
55,60,2,BarelyPassed
45,45,3,BarelyPassed
55,55,3,BarelyPassed
55,55,2,BarelyPassed
40,40,1,BarelyPassed
25,25,4,Failed
50,60,3,Passed
55,50,3,BarelyPassed
35,30,5,Failed
75,75,3,Passed
45,50,2,BarelyPassed
35,45,3,BarelyPassed
40,35,5,Failed
65,70,3,Passed
55,50,4,BarelyPassed
40,30,2,BarelyPassed
35,35,4,BarelyPassed
80,85,3,Passed
35,30,4,Failed
55,50,3,BarelyPassed
55,65,2,Passed
35,50,3,BarelyPassed
55,75,3,Passed
40,45,2,BarelyPassed
55,70,3,Passed
35,45,2,BarelyPassed
35,35,3,Failed
80,85,4,Passed
50,65,3,Passed
35,30,2,Failed
80,90,4,Passed
50,55,2,BarelyPassed
35,40,4,BarelyPassed
80,90,3,Passed
50,65,4,Passed
70,75,2,Passed
90,95,3,Passed
35,50,2,BarelyPassed
50,65,4,Passed
90,95,3,Passed
45,45,4,BarelyPassed
75,75,2,Passed
55,65,2,Passed
65,70,2,Passed
45,35,5,BarelyPassed
70,65,3,Passed
80,75,3,Passed
80,70,3,Passed
65,65,4,Passed
70,55,4,Passed
40,35,2,BarelyPassed
65,65,3,Passed
35,50,4,BarelyPassed
35,40,1,BarelyPassed
35,20,3,Failed
90,90,2,Passed
60,0,2,Failed
40,0,2,Failed
50,65,3,Passed
60,55,2,BarelyPassed
45,0,2,Failed
55,0,2,Failed
50,0,1,Failed
20,0,2,Failed
70,60,4,Passed
80,80,2,Passed
35,45,4,Failed
45,45,4,BarelyPassed
45,55,3,BarelyPassed
70,70,2,Passed
25,0,3,Failed
40,55,1,BarelyPassed
30,35,2,Failed
50,55,1,BarelyPassed
35,30,2,Failed
40,45,1,BarelyPassed
30,25,3,Failed
60,65,3,Passed
50,50,1,BarelyPassed
25,0,2,Failed
55,55,4,Passed
55,40,5,BarelyPassed
80,60,4,Passed
45,40,4,BarelyPassed
85,75,2,Passed
50,60,2,Passed
35,30,3,Failed
25,45,1,BarelyPassed
35,0,3,Failed
50,50,3,BarelyPassed
25,40,2,BarelyPassed
60,55,3,Passed
50,50,4,BarelyPassed
70,75,1,Passed
30,35,4,Failed
70,70,1,Passed
30,25,3,Failed
65,75,4,Passed
65,55,2,BarelyPassed
40,35,2,Failed
50,55,4,BarelyPassed
50,45,3,BarelyPassed
65,65,2,BarelyPassed
30,25,2,Failed
50,40,4,BarelyPassed
50,50,3,BarelyPassed
45,40,2,BarelyPassed
60,65,5,Passed
80,85,2,Passed
45,45,3,BarelyPassed
60,65,2,Passed
60,60,2,BarelyPassed
55,60,4,BarelyPassed
75,75,2,Passed
40,35,4,BarelyPassed
40,45,2,BarelyPassed
55,60,3,Passed
40,40,3,BarelyPassed
35,40,3,BarelyPassed
