grade1,grade2,attendance,finalGrade
25,30,3,Danger
25,25,2,Danger
35,40,2,Struggling
75,70,4,Pass
30,50,5,Struggling
75,75,4,Pass
60,60,4,Pass
30,25,4,Danger
80,90,5,Pass
70,75,4,Pass
50,40,3,Struggling
50,60,5,Pass
70,70,3,Pass
50,50,3,Pass
70,80,4,Pass
70,70,4,Pass
65,70,2,Pass
40,50,2,Struggling
30,25,2,Danger
40,50,5,Struggling
65,70,2,Pass
60,75,5,Pass
75,75,4,Pass
65,65,4,Pass
50,45,4,Struggling
30,45,3,Struggling
60,60,4,Pass
75,80,4,Pass
55,55,3,Pass
50,60,4,Pass
45,55,4,Pass
85,80,5,Pass
85,80,2,Pass
40,50,2,Pass
60,70,4,Pass
40,35,5,Danger
75,80,2,Pass
75,80,2,Pass
60,60,2,Pass
70,65,3,Pass
35,50,2,Pass
60,60,2,Pass
95,90,3,Pass
40,40,3,Pass
50,50,2,Struggling
40,40,4,Danger
55,60,2,Pass
95,95,4,Pass
75,75,4,Pass
35,35,4,Struggling
60,65,4,Pass
55,65,3,Pass
55,55,3,Struggling
40,50,4,Pass
50,65,3,Pass
40,45,3,Struggling
70,75,4,Pass
70,75,4,Pass
45,50,4,Struggling
75,80,3,Pass
50,55,3,Pass
50,40,2,Pass
40,50,4,Struggling
50,45,4,Struggling
50,50,3,Struggling
80,75,4,Pass
65,65,3,Pass
35,35,2,Danger
40,45,2,Struggling
80,80,2,Pass
65,75,4,Pass
50,50,1,Struggling
40,30,2,Danger
60,60,2,Pass
55,60,2,Pass
45,45,3,Struggling
55,55,3,Struggling
55,55,2,Pass
40,40,1,Struggling
25,25,4,Danger
50,60,3,Pass
55,50,3,Pass
35,30,5,Danger
75,75,3,Pass
45,50,2,Struggling
35,45,3,Struggling
40,35,5,Danger
65,70,3,Pass
55,50,4,Struggling
40,30,2,Struggling
35,35,4,Struggling
80,85,3,Pass
35,30,4,Danger
55,50,3,Struggling
55,65,2,Pass
35,50,3,Struggling
55,75,3,Pass
40,45,2,Struggling
55,70,3,Pass
35,45,2,Struggling
35,35,3,Danger
80,85,4,Pass
50,65,3,Pass
35,30,2,Danger
80,90,4,Pass
50,55,2,Pass
35,40,4,Struggling
80,90,3,Pass
50,65,4,Pass
70,75,2,Pass
90,95,3,Pass
35,50,2,Struggling
50,65,4,Pass
90,95,3,Pass
45,45,4,Struggling
75,75,2,Pass
55,65,2,Pass
65,70,2,Pass
45,35,5,Struggling
70,65,3,Pass
80,75,3,Pass
80,70,3,Pass
65,65,4,Pass
70,55,4,Pass
40,35,2,Struggling
65,65,3,Pass
35,50,4,Pass
35,40,1,Struggling
35,20,3,Danger
90,90,2,Pass
60,0,2,Danger
40,0,2,Danger
50,65,3,Pass
60,55,2,Pass
45,0,2,Danger
55,0,2,Danger
50,0,1,Danger
20,0,2,Danger
70,60,4,Pass
80,80,2,Pass
35,45,4,Danger
45,45,4,Struggling
45,55,3,Pass
70,70,2,Pass
25,0,3,Danger
40,55,1,Pass
30,35,2,Danger
50,55,1,Pass
35,30,2,Danger
40,45,1,Struggling
30,25,3,Danger
60,65,3,Pass
50,50,1,Struggling
25,0,2,Danger
55,55,4,Pass
55,40,5,Struggling
80,60,4,Pass
45,40,4,Struggling
85,75,2,Pass
50,60,2,Pass
35,30,3,Danger
25,45,1,Struggling
35,0,3,Danger
50,50,3,Struggling
25,40,2,Struggling
60,55,3,Pass
50,50,4,Struggling
70,75,1,Pass
30,35,4,Danger
70,70,1,Pass
30,25,3,Danger
65,75,4,Pass
65,55,2,Struggling
40,35,2,Danger
50,55,4,Struggling
50,45,3,Struggling
65,65,2,Pass
30,25,2,Danger
50,40,4,Struggling
50,50,3,Pass
45,40,2,Struggling
60,65,5,Pass
80,85,2,Pass
45,45,3,Struggling
60,65,2,Pass
60,60,2,Pass
55,60,4,Pass
75,75,2,Pass
40,35,4,Struggling
40,45,2,Struggling
55,60,3,Pass
40,40,3,Struggling
35,40,3,Struggling
40,45,3,Struggling
65,70,5,Pass
70,75,2,Pass
85,75,4,Pass
45,45,2,Struggling
90,90,4,Pass
45,45,5,Struggling
80,80,3,Pass
40,50,3,Struggling
45,45,2,Struggling
35,30,4,Danger
50,50,3,Pass
50,45,2,Struggling
35,35,5,Struggling
55,60,4,Pass
45,45,2,Struggling
35,35,3,Struggling
40,40,5,Struggling
60,60,5,Pass
60,65,4,Pass
30,35,4,Struggling
40,50,2,Struggling
70,75,2,Pass
30,30,4,Danger
30,30,3,Struggling
35,35,4,Struggling
45,50,3,Struggling
30,30,2,Danger
30,25,5,Danger
80,80,3,Pass
60,65,3,Pass
65,65,4,Pass
45,40,3,Struggling
80,75,2,Pass
60,55,3,Pass
50,40,3,Struggling
60,50,2,Pass
65,65,2,Pass
55,55,3,Pass
55,45,2,Struggling
70,65,4,Pass
45,35,4,Danger
55,45,5,Struggling
70,65,3,Pass
65,60,4,Pass
65,55,1,Pass
35,35,4,Danger
60,60,4,Pass
50,55,2,Pass
30,0,3,Danger
65,60,2,Pass
35,0,3,Danger
90,90,5,Pass
60,60,2,Pass
30,40,1,Struggling
15,25,2,Danger
65,75,2,Pass
30,40,3,Struggling
35,50,2,Struggling
30,45,2,Struggling
40,45,2,Struggling
40,60,2,Pass
35,45,2,Struggling
70,60,3,Pass
55,55,4,Pass
75,70,1,Pass
50,45,2,Danger
85,90,2,Pass
40,40,2,Struggling
65,60,3,Pass
50,45,1,Struggling
45,50,3,Danger
85,85,4,Pass
45,45,3,Struggling
60,50,2,Pass
50,45,2,Struggling
30,0,2,Danger
45,45,2,Struggling
75,70,4,Pass
55,55,3,Pass
75,70,4,Pass
50,50,3,Struggling
60,60,4,Pass
50,45,2,Struggling
45,45,3,Struggling
45,40,2,Struggling
50,55,4,Struggling
40,40,2,Struggling
55,45,3,Struggling
60,60,4,Pass
40,45,2,Struggling
50,45,2,Pass
60,50,5,Pass
90,90,4,Pass
65,60,3,Pass
75,70,5,Pass
75,65,4,Pass
60,55,4,Pass
75,75,4,Pass
60,60,4,Pass
90,90,3,Pass
70,65,3,Pass
70,60,1,Pass
50,45,4,Danger
50,40,3,Struggling
70,65,5,Pass
80,75,3,Pass
60,50,4,Pass
55,55,3,Struggling
75,60,3,Pass
85,85,4,Pass
75,70,4,Pass
70,60,3,Pass
85,90,2,Pass
40,45,3,Struggling
75,60,3,Pass
60,50,1,Struggling
45,45,4,Danger
70,60,2,Pass
65,55,4,Pass
65,50,4,Pass
75,65,2,Pass
65,55,1,Pass
40,40,2,Danger
45,50,4,Struggling
55,55,4,Struggling
55,55,2,Pass
65,65,4,Pass
55,45,3,Struggling
55,55,3,Pass
60,70,3,Pass
80,75,4,Pass
45,60,5,Pass
70,75,3,Pass
55,50,4,Struggling
50,45,5,Struggling
70,70,4,Pass
45,40,4,Struggling
60,70,2,Pass
35,0,1,Danger
40,40,2,Danger
50,45,3,Danger
80,75,4,Pass
70,65,2,Pass
35,40,2,Danger
80,75,2,Pass
45,50,4,Struggling
55,60,2,Pass
50,50,5,Danger
80,75,2,Pass
45,40,4,Danger
55,50,3,Struggling
65,65,5,Pass
80,75,3,Pass
50,50,3,Struggling
65,75,3,Pass
55,65,4,Pass
40,35,2,Struggling
65,65,2,Pass
40,35,4,Struggling
40,40,3,Struggling
65,55,3,Pass
50,45,2,Struggling
60,65,4,Pass
60,60,4,Pass
50,50,4,Struggling
90,80,3,Pass
65,65,2,Pass
65,60,4,Pass
55,55,5,Struggling
80,75,3,Pass
60,55,2,Pass
50,50,5,Struggling
65,65,2,Pass
35,30,3,Danger
55,50,4,Struggling
70,60,2,Pass
35,35,2,Struggling
